"Province","District","Facility","DatimTarget","DATIMTarget_Adj","Indicator","Group"
"Luapula","Chembe","Chembe Min Hospital",65,71,"TX_CURR","Adults"
"Luapula","Chembe","Chembe Rural Health Centre",1252,1381,"TX_CURR","Adults"
"Luapula","Chembe","Chipete Rural Health Centre",53,59,"TX_CURR","Adults"
"Luapula","Chembe","Fikombo Health Post",28,31,"TX_CURR","Adults"
"Luapula","Chembe","Kasomalwela Rural Health Centre",57,63,"TX_CURR","Adults"
"Luapula","Chembe","Kundamfumu Rural Health Centre",109,120,"TX_CURR","Adults"
"Luapula","Chembe","Lukola Rural Health Centre",101,111,"TX_CURR","Adults"
"Luapula","Chienge","Chienge District Hospital",289,319,"TX_CURR","Adults"
"Luapula","Chienge","Chipungu Rural Health Centre",488,539,"TX_CURR","Adults"
"Luapula","Chienge","Kabole Rural Health Centre",1924,2124,"TX_CURR","Adults"
"Luapula","Chienge","Kabwe Rural Health Centre",274,303,"TX_CURR","Adults"
"Luapula","Chienge","Kalembwe Rural Health Centre",361,398,"TX_CURR","Adults"
"Luapula","Chienge","Kapako Health Post (Chienge)",33,37,"TX_CURR","Adults"
"Luapula","Chienge","Lambwe Chikwama Health Post",24,26,"TX_CURR","Adults"
"Luapula","Chienge","Lambwe Chomba Rural Health Centre",132,146,"TX_CURR","Adults"
"Luapula","Chienge","Lukata Health Post",22,24,"TX_CURR","Adults"
"Luapula","Chienge","Lunchinda Health Post",729,806,"TX_CURR","Adults"
"Luapula","Chienge","Mukunta Rural Health Centre",793,874,"TX_CURR","Adults"
"Luapula","Chienge","Mwabu Rural Health Centre",265,293,"TX_CURR","Adults"
"Luapula","Chienge","Puta Rural Health Centre",1283,1416,"TX_CURR","Adults"
"Luapula","Chienge","Sambula Rural Health Centre",552,609,"TX_CURR","Adults"
"Luapula","Chifunabuli","Chishi Rural Health Centre",150,166,"TX_CURR","Adults"
"Luapula","Chifunabuli","Kasaba Mission Hospital",910,1006,"TX_CURR","Adults"
"Luapula","Chifunabuli","Lubwe Hospital Affiliated Health Centre",79,87,"TX_CURR","Adults"
"Luapula","Chifunabuli","Lubwe Mission Hospital",1889,2085,"TX_CURR","Adults"
"Luapula","Chifunabuli","Mbabala Rural Health Centre",100,111,"TX_CURR","Adults"
"Luapula","Chifunabuli","Mundubi Rural Health Centre",167,184,"TX_CURR","Adults"
"Luapula","Chifunabuli","Mwansakombe Rural Health Centre",87,96,"TX_CURR","Adults"
"Luapula","Chifunabuli","Mwewa Health Post",42,46,"TX_CURR","Adults"
